locationname,type,final_address,Postcode,Latitude,Longitude
Williamsbridge NAACP Early Childhood Education Center,prek,"670 East 219th Street, Bronx NY 10467",10467,40.883871,-73.863773
Susan Wagner Day Care,prek,"1140 East 229th Street, Bronx NY 10466",10466,40.88629,-73.845378
Corry Academy,prek,"4321 Barnes Avenue, Bronx NY 10466",10466,40.895366,-73.852905
Susan Wagner Victory,prek,"3440 White Plains Road, Bronx NY 10467",10467,40.876472,-73.866945
Santa Maria School,prek,"1651 Zerega Avenue, Bronx NY 10462",10462,40.839497,-73.850633
Learning Ladder Day Care Center,prek,"100 Aldrich Street, Bronx NY 10475",10475,40.870067,-73.832153
Mind-Builders Creative Arts Center,prek,"3415 Olinville Avenue, Bronx NY 10467",10467,40.87593,-73.868125
Holy Rosary Early Childhood at St. Mary Star of the Sea,prek,"580 Minnieford Avenue, Bronx NY 10464",10464,40.854213,-73.789563
Susan Wagner Day School,prek,"4102 White Plains Road, Bronx NY 10466",10466,40.890779,-73.858814
Sunshine Daycare of Westchester Village,prek,"1564 St. Peters Avenue, Bronx NY 10461",10461,40.840569,-73.847594
"All Seasons Day Care, LLC",prek,"1701 Nereid Avenue, Bronx NY 10466",10466,40.897866,-73.852411
St. Lucy Early Childhood Academy,prek,"2401 Bronxwood Avenue, Bronx NY 10469",10469,40.861282,-73.861719
"All Seasons A&C Day Care, LLC",prek,"700 Rosewood Street, Bronx NY 10467",10467,40.873206,-73.866977
Mosaic Pre-K Center at 80-55 Cornish Avenue,prek,"80-55 Cornish Avenue, Queens NY 11373",11373,40.739115,-73.882487
"Bronx Park East Preparatory, Inc.",prek,"2270 Bronx Park East, Bronx NY 10467",10467,40.859399,-73.870811
Santa Maria Early Childhood Academy,prek,"1659 Zerega Avenue, Bronx NY 10462",10462,40.839539,-73.850694
St. Clare Of Assisi Early Childhood Academy,prek,"1925 Hone Avenue, Bronx NY 10461",10461,40.851398,-73.856686
Lil Inventors Child Care- Wallace Ave,prek,"2100 Wallace Avenue, Bronx NY 10462",10462,40.853263,-73.86484
District 11 Pre-K Center at 800 Lydig Avenue,prek,"800 Lydig Avenue, Bronx NY 10462",10462,40.854415,-73.863732
District 11 Pre-K Center at 1684 White Plains Road,prek,"1684 White Plains Road, Bronx NY 10462",10462,40.843523,-73.865496
Bedford Stuyvesant ECDC 5Q,prek,"5 Quincy Street, Brooklyn NY 11238",11238,40.685789,-73.960911
District 11 Pre-K Center at 4520 Matilda Avenue,prek,"4520 Matilda Avenue, Bronx NY 10470",10470,40.901428,-73.8544
P.S. 6 West Farms,prek,"1000 East Tremont Avenue, Bronx NY 10460",10460,40.840755,-73.881707
P.S. 44 David C. Farragut,prek,"1825 Prospect Avenue, Bronx NY 10457",10457,40.842084,-73.891116
P.S. 57 Crescent,prek,"2111 Crotona Avenue, Bronx NY 10457",10457,40.848472,-73.888561
P.S. 61 Francisco Oller,prek,"1550 Crotona Park East, Bronx NY 10460",10460,40.836575,-73.892817
P.S. 66 School of Higher Expectations,prek,"1001 Jennings Street, Bronx NY 10460",10460,40.831165,-73.887094
P.S. 67 Mohegan School,prek,"2024 Mohegan Avenue, Bronx NY 10460",10460,40.843945,-73.884788
P.S. 92 Bronx,prek,"700 East 179th Street, Bronx NY 10457",10457,40.846711,-73.889815
P.S. 134 George F. Bristow,prek,"1330 Bristow Street, Bronx NY 10459",10459,40.83132,-73.894794
P.S. 150 Charles James Fox,prek,"920 East 167th Street, Bronx NY 10459",10459,40.82636,-73.894398
P.S. 195,prek,"1250 Ward Avenue, Bronx NY 10472",10472,40.830691,-73.877743
P.S. 196,prek,"1250 Ward Avenue, Bronx NY 10472",10472,40.830691,-73.877743
P.S. 211,prek,"1919 Prospect Avenue, Bronx NY 10457",10457,40.843546,-73.889755
P.S. 212,prek,"1180 Tinton Avenue, Bronx NY 10456",10456,40.828419,-73.900721
P.S. 214,prek,"1970 West Farms Road, Bronx NY 10460",10460,40.839565,-73.880358
The School of Science and Applied Learning,prek,"2050 Prospect Avenue, Bronx NY 10457",10457,40.846236,-73.887405
Fairmont Neighborhood School,prek,"1550 Vyse Avenue, Bronx NY 10460",10460,40.834157,-73.887512
Samara Community School,prek,"1550 Vyse Avenue, Bronx NY 10460",10460,40.834157,-73.887512
Urban Scholars Community School,prek,"1180 Tinton Avenue, Bronx NY 10456",10456,40.828419,-73.900721
Archer Elementary School,prek,"1827 Archer Street, Bronx NY 10460",10460,40.837631,-73.866036
P.S. 536,prek,"1827 Archer Street, Bronx NY 10460",10460,40.837631,-73.866036
Bronx Little School,prek,"1827 Archer Street, Bronx NY 10460",10460,40.837631,-73.866036
Bronxdale Nursery,prek,"1065 Beach Avenue, Bronx NY 10472",10472,40.827038,-73.865255
Saint John Chrysostom School,prek,"1144 Hoe Avenue, Bronx NY 10459",10459,40.827328,-73.890888
St. Thomas Aquinas School,prek,"1909 Daly Avenue, Bronx NY 10460",10460,40.840695,-73.884584
Phipps Neighborhoods Daly Avenue ECEC,prek,"921 East 180th Street, Bronx NY 10460",10460,40.844498,-73.881473
Bronx Early Childhood Center,prek,"1515 Southern Boulevard, Bronx NY 10460",10460,40.833734,-73.889934
East Tremont Child Care and Development Center,prek,"1811 Crotona Avenue, Bronx NY 10457",10457,40.842893,-73.893457
Children's Aid at P.S. 211,prek,"1919 Prospect Avenue, Bronx NY 10457",10457,40.843546,-73.889755
Intervale (Center #2),prek,"1054 Intervale Avenue, Bronx NY 10459",10459,40.824823,-73.896839
Sound Dale Center for ECE,prek,"1211 Croes Avenue, Bronx NY 10472",10472,40.829767,-73.870728
Prospect Park Yeshiva,prek,"1784 East 17th Street, Brooklyn NY 11229",11229,40.606652,-73.955962
Bronx River Early Learn Center,prek,"1555 East 174th Street, Bronx NY 10472",10472,40.834294,-73.87885
Help III,prek,"785 Crotona Park North, Bronx NY 10460",10460,40.840627,-73.891433
Saint Anthony I,prek,"1750 Mansion Street, Bronx NY 10460",10460,40.837975,-73.869555
Stuyvesant Heights Day Care/New Vision One,prek,"69 Macdonough Street, Brooklyn NY 11216",11216,40.680992,-73.943986
Tremont Crotona,prek,"1600 Crotona Park East, Bronx NY 10460",10460,40.836705,-73.891205
Phipps Houses Lebanon West Farms,prek,"1175 East Tremont Avenue, Bronx NY 10460",10460,40.839861,-73.874604
P.S. 3 The Bedford Village,prek,"50 Jefferson Avenue, Brooklyn NY 11216",11216,40.682663,-73.955338
P.S. 9 Teunis G. Bergen,prek,"80 Underhill Avenue, Brooklyn NY 11238",11238,40.678297,-73.965541
P.S. 11 Purvis J. Behan,prek,"419 Waverly Avenue, Brooklyn NY 11238",11238,40.685491,-73.966291
P.S. 20 Clinton Hill,prek,"225 Adelphi Street, Brooklyn NY 11205",11205,40.690765,-73.971376
P.S. 44 Marcus Garvey,prek,"432 Monroe Street, Brooklyn NY 11221",11221,40.686592,-73.940747
P.S. 46 Edward C. Blum,prek,"100 Clermont Avenue, Brooklyn NY 11205",11205,40.694633,-73.971165
P.S. 54 Samuel C. Barnes,prek,"195 Sandford Street, Brooklyn NY 11205",11205,40.693018,-73.953034
P.S. 56 Lewis H. Latimer,prek,"170 Gates Avenue, Brooklyn NY 11238",11238,40.68505,-73.960659
P.S. 67 Charles A. Dorsey,prek,"51 Saint Edwards Street, Brooklyn NY 11205",11205,40.695633,-73.978215
P.S. 93 William H. Prescott,prek,"31 New York Avenue, Brooklyn NY 11216",11216,40.679097,-73.94684
P.S. 133 William A. Butler,prek,"610 Baltic Street, Brooklyn NY 11217",11217,40.680428,-73.980491
P.S. 256 Benjamin Banneker,prek,"114 Kosciusko Street, Brooklyn NY 11216",11216,40.690725,-73.950433
P.S. 270 Johann Dekalb,prek,"241 Emerson Place, Brooklyn NY 11205",11205,40.690202,-73.961478
P.S. 282 Park Slope,prek,"180 6th Avenue, Brooklyn NY 11217",11217,40.67634,-73.977367
P.S. 287 Bailey K. Ashford,prek,"50 Navy Street, Brooklyn NY 11201",11201,40.697901,-73.98054
P.S. 305 Dr. Peter Ray,prek,"344 Monroe Street, Brooklyn NY 11216",11216,40.686076,-73.945229
P.S. 307 Daniel Hale Williams,prek,"209 York Street, Brooklyn NY 11201",11201,40.701343,-73.982314
P.S. 84 Jose De Diego,prek,"250 Berry Street, Brooklyn NY 11211",11249,40.714785,-73.963
BCS Duffield Children's Center,prek,"101 Fleet Place, Brooklyn NY 11201",11201,40.692598,-73.981761
"Tabernacle Church of God Day Care Center, Inc.",prek,"34 Kosciuszko Street, Brooklyn NY 11205",11205,40.690353,-73.953678
Young Minds Day Care Center,prek,"972 Fulton Street, Brooklyn NY 11238",11238,40.682446,-73.961984
Northside Center for Child Development,prek,"44-60 Rockwell Place, Brooklyn NY 11201",11201,40.688807,-73.979375
Salvation Army - Bedford,prek,"110 Kosciusko St, Brooklyn NY 11216",11216,40.690709,-73.950562
Bedford Stuyvesant ECDC 262,prek,"262 Lexington Avenue, Brooklyn NY 11216",11216,40.687597,-73.951574
Billy Martin Child Development Center,prek,"333 Classon Avenue, Brooklyn NY 11205",11205,40.689768,-73.960169
Our Children's Center,prek,"300 Jay Street, Brooklyn NY 11201",11201,40.695547,-73.98714
Helen Owen Carey CDC,prek,"71 Lincoln Place, Brooklyn NY 11217",11217,40.67696,-73.977727
Little Sun People,prek,"1360 Fulton Street, Brooklyn NY 11216",11216,40.680186,-73.94593
Imagine Dumbo - Adams,prek,"85 Adams Street, Brooklyn NY 11201",11201,40.701816,-73.988596
Imagine Brooklyn Heights,prek,"50 Monroe Place, Brooklyn NY 11201",11201,40.695717,-73.992831
"Alonzo A. Daughtry Memorial Day Care Center, Inc.",prek,"565 Baltic Street, Brooklyn NY 11217",11217,40.681306,-73.982697
NY Preschool Brooklyn Heights,prek,"182 Henry Street, Brooklyn NY 11201",11201,40.69505,-73.994187
NY Preschool Park Slope,prek,"125 5th Avenue, Brooklyn NY 11217",11217,40.6788,-73.978833
Bnos Square of Williamsburg,prek,"165 Spencer Street, Brooklyn NY 11205",11205,40.693499,-73.954949
Bonjour Capital,prek,"535 Clinton Avenue, Brooklyn NY 11238",11238,40.682472,-73.966682
District 13 Pre-K Center at 25 Dock Street,prek,"25 Dock Street, Brooklyn NY 11201",11201,40.703032,-73.992552
P.S. 16 Leonard Dunkly,prek,"157 Wilson Street, Brooklyn NY 11211",11211,40.706023,-73.961476
P.S. 17 Henry D. Woodworth,prek,"208 North 5th Street, Brooklyn NY 11211",11211,40.715351,-73.956716
P.S. 18 Edward Bush,prek,"101 Maujer Street, Brooklyn NY 11206",11206,40.710609,-73.946977
P.S. 23 Carter G. Woodson,prek,"545 Willoughby Avenue, Brooklyn NY 11206",11206,40.69407,-73.94756
P.S. 31 Samuel F. Dupont,prek,"75 Meserole Avenue, Brooklyn NY 11222",11222,40.726587,-73.95427
P.S. 34 Oliver H. Perry,prek,"131 Norman Avenue, Brooklyn NY 11222",11222,40.726135,-73.949649
P.S. 59 William Floyd,prek,"211 Throop Avenue, Brooklyn NY 11206",11206,40.696733,-73.943652
P.S. 110 The Monitor,prek,"124 Monitor Street, Brooklyn NY 11222",11222,40.723897,-73.942312
Small World,prek,"211 Ainslie Street, Brooklyn NY 11211",11211,40.712972,-73.945453
P.S. 120 Carlos Tapia,prek,"18 Beaver Street, Brooklyn NY 11206",11206,40.700911,-73.938884
P.S. 132 The Conselyea School,prek,"320, Manhattan Avenue, Brooklyn NY 11211",,,
P.S. 147 Isaac Remsen,prek,"325 Bushwick Avenue, Brooklyn NY 11206",11206,40.705204,-73.939407
P.S./I.S. 157 The Benjamin Franklin Health & Science Academy,prek,"850 Kent Avenue, Brooklyn NY 11205",11205,40.695417,-73.959571
P.S. 196 Ten Eyck,prek,"207 Bushwick Avenue, Brooklyn NY 11206",11206,40.708723,-73.940002
P.S. 250 George H. Lindsay,prek,"108 Montrose Avenue, Brooklyn NY 11206",11206,40.707104,-73.945475
P.S. 257 John F. Hylan,prek,"60 Cook Street, Brooklyn NY 11206",11206,40.702392,-73.941801
P.S. 297 Abraham Stockton,prek,"700 Park Avenue, Brooklyn NY 11206",11206,40.697781,-73.947809
P.S. 319,prek,"360 Keap Street, Brooklyn NY 11211",11211,40.709674,-73.954217
P.S. 380 John Wayne Elementary,prek,"370 Marcy Avenue, Brooklyn NY 11206",11206,40.702427,-73.952985
Brooklyn Arbor Elementary School,prek,"325 South 3rd Street, Brooklyn NY 11211",11211,40.709647,-73.95465
Yeshiva Jesode Hatorah,prek,"563 Bedford Avenue, Brooklyn NY 11211",11211,40.704135,-73.96112
St. Stanislaus Kostka Catholic Academy,prek,"12 Newell Street, Brooklyn NY 11222",11222,40.723378,-73.946555
New York League for Early Learning,prek,"725 Leonard Street, Brooklyn NY 11222",11222,40.729202,-73.952872
Cooper Park Child Care Center,prek,"292 Frost Street, Brooklyn NY 11222",11222,40.718895,-73.939633
Marcy Children's Center,prek,"494 Marcy Avenue, Brooklyn NY 11206",11206,40.698084,-73.949756
Williamsburg CCC,prek,"110 Taylor Street, Brooklyn NY 11249",11249,40.705423,-73.963835
Bushwick United HDFC 9,prek,"741 Flushing Avenue, Brooklyn NY 11206",11206,40.700603,-73.943003
Sumner Children's Center,prek,"860 Park Avenue, Brooklyn NY 11206",11206,40.698576,-73.940801
Tompkins Children's Center,prek,"730 Park Avenue, Brooklyn NY 11206",11206,40.697942,-73.946392
Stagg Street Center for Children,prek,"77 Stagg Street, Brooklyn NY 11206",11206,40.709127,-73.947461
Bushwick United HDFC 4,prek,"178 Leonard Street, Brooklyn NY 11206",11206,40.710036,-73.946992
Professional Childcare Inc.,prek,"3803 Francis Lewis Boulevard, Queens NY 11358",11358,40.762514,-73.78529
Graham Child Care Center,prek,"222 Graham Avenue, Brooklyn NY 11206",11206,40.709622,-73.943569
Nuestros Ninos DCC II,prek,"243 South 2nd Street, Brooklyn NY 11211",11211,40.711824,-73.958096
Nuestros Ninos DCC I,prek,"384 South 4th Street, Brooklyn NY 11211",11211,40.708084,-73.952515
Nuestros Ninos DCC III,prek,"161 South 3rd Street, Brooklyn NY 11211",11211,40.712106,-73.961371
Yeshiva Headstart Keap Street,prek,"274 Keap Street, Brooklyn NY 11211",11211,40.706633,-73.95599
Jonathan Williams,prek,"321 Roebling Street, Brooklyn NY 11211",11211,40.70832,-73.960981
Our Children the Leaders of Tomorrow 1,prek,"756 Myrtle Avenue, Brooklyn NY 11206",11206,40.695021,-73.952276
Williamsburg Y Head Start,prek,"64 Division Avenue, Brooklyn NY 11249",11249,40.707199,-73.966135
Kings Bay Y at North Williamsburg,prek,"14 Hope Street, Brooklyn NY 11211",11211,40.713735,-73.957349
Bushwick United Development Fund,prek,"243 South 2nd Street, Brooklyn NY 11211",11211,40.711824,-73.958096
Queen of the Rosary Catholic Academy,prek,"11 Catherine Street, Brooklyn NY 11211",11211,40.713264,-73.937387
Chabad of North Brooklyn,prek,"132 North 5th Street, Brooklyn NY 11249",11249,40.716944,-73.95928
P.S. 1 The Bergen,prek,"309 47th Street, Brooklyn NY 11220",11220,40.649042,-74.012289
P.S. 15 Patrick F. Daly,prek,"71 Sullivan Street, Brooklyn NY 11231",11231,40.677343,-74.011558
P.S. 24,prek,"427 38th Street, Brooklyn NY 11232",11232,40.652701,-74.004743
P.S. 29 John M. Harrigan,prek,"425 Henry Street, Brooklyn NY 11201",11201,40.686951,-73.99806
P.S. 32 Samuel Mills Sprole,prek,"317 Hoyt Street, Brooklyn NY 11231",11231,40.680445,-73.991949
P.S. 38 The Pacific,prek,"450 Pacific Street, Brooklyn NY 11217",11217,40.685264,-73.982639
P.S. 58 The Carroll,prek,"330 Smith Street, Brooklyn NY 11231",11231,40.680149,-73.994938
The Maurice Sendak Community School,prek,"211 8th Street, Brooklyn NY 11215",11215,40.670764,-73.987787
P.S. 124 Silas B. Dutcher,prek,"515 4th Avenue, Brooklyn NY 11215",11215,40.667545,-73.991046
P.S. 130 The Parkside,prek,"70 Ocean Parkway, Brooklyn NY 11218",11218,40.648884,-73.975607
P.S. 131 Brooklyn,prek,"4305 Fort Hamilton Parkway, Brooklyn NY 11219",11219,40.641157,-73.993482
Yeshivat Shaare Torah,prek,"222 Ocean Parkway, Brooklyn NY 11218",11218,40.64439,-73.974325
Brooklyn New School,prek,"610 Henry Street, Brooklyn NY 11231",11231,40.68007,-74.001377
P.S. 172 Beacon School Of Excellence,prek,"825 4th Avenue, Brooklyn NY 11232",11232,40.657914,-74.000652
P.S. 230 Doris L. Cohen,prek,"1 Albemarle Road, Brooklyn NY 11218",11218,40.645017,-73.980761
P.S. 261 Philip Livingston,prek,"314 Pacific Street, Brooklyn NY 11201",11201,40.687466,-73.988288
P.S. 295,prek,"330 18th Street, Brooklyn NY 11215",11215,40.660976,-73.988297
The Children's School,prek,"512 Carroll Street, Brooklyn NY 11215",11215,40.676668,-73.985258
Sunset Park Avenues Elementary School,prek,"4222 4th Avenue, Brooklyn NY 11232",11232,40.650785,-74.008105
Red Hook Neighborhood School,prek,"27 Huntington Street, Brooklyn NY 11231",11231,40.677564,-74.005166
Pre-K Center At Bishop Ford School Site,prek,"500 19th Street, Brooklyn NY 11215",11215,40.656944,-73.983115
AL Noor School,prek,"675 4th Avenue, Brooklyn NY 11232",11232,40.662777,-73.995599
Yeshivas Boyan Tifereth Mordechai Shlomo,prek,"1205 44th Street, Brooklyn NY 11219",11219,40.638925,-73.991007
Action Nursery,prek,"1019 46th Street, Brooklyn NY 11219",11219,40.640388,-73.996451
Saint Francis Xavier,prek,"763 President Street, Brooklyn NY 11215",11215,40.674465,-73.977497
B.Above Worldwide Institute - Tomer Devorah,prek,"4500 9th Avenue, Brooklyn NY 11220",11220,40.642505,-73.998692
Brooklyn Chinese American Association Day Care,prek,"713 43rd Street, Brooklyn NY 11232",11232,40.646062,-74.001308
Strong Place for Hope Day Care Center - 2nd,prek,"333 2nd Street, Brooklyn NY 11215",11215,40.673788,-73.983568
Saint Andrews Community Day Care,prek,"4917 Fourth Avenue, Brooklyn NY 11220",11220,40.646876,-74.01214
Yeled V'Yalda 1257,prek,"1257 38th Street, Brooklyn NY 11218",11218,40.641793,-73.986693
Strong Place for Hope Day Care Center - Atlantic,prek,"460 Atlantic Avenue, Brooklyn NY 11217",11217,40.686296,-73.983223
Strong Place Day Care,prek,"595 Clinton Street, Brooklyn NY 11231",11231,40.675091,-74.001676
Baais Yaakov Faigeh of Schonberger of Adas Yereim,prek,"1169 43rd Street, Brooklyn NY 11219",11219,40.640281,-73.991741
Brooklyn Free Space,prek,"298 Sixth Avenue, Brooklyn NY 11215",11215,40.672171,-73.980504
Chick Peas Child Care,prek,"451 7th Avenue, Brooklyn NY 11215",11215,40.662889,-73.984908
Bay Ridge Child Care Center,prek,"314 44th Street, Brooklyn NY 11220",11220,40.650667,-74.010487
"Hanson Place Child Development Center, Inc.",prek,"55 Hanson Place, Brooklyn NY 11217",11217,40.685378,-73.975554
ACE Early Childhood Center,prek,"199 14th Street, Brooklyn NY 11215",11215,40.666966,-73.990448
A. Fantis Parochial School,prek,"195 State Street, Brooklyn NY 11201",11201,40.690159,-73.99145
Warren Street Center,prek,"343 Warren Street, Brooklyn NY 11201",11201,40.685037,-73.990254
Sunset Park Children's School,prek,"4616 4th Avenue, Brooklyn NY 11220",11220,40.648565,-74.010407
"Therapy and Learning Center, Inc.",prek,"1723 8th Avenue, Brooklyn NY 11215",11215,40.659129,-73.984952
Nesivos Bais Yaakov,prek,"1021 45th Street, Brooklyn NY 11219",11219,40.640918,-73.995817
Stanley S. Lamm Institute Preschool,prek,"500 19th Street, Brooklyn NY 11215",11215,40.656944,-73.983115
Brooklyn Chinese American Association - Bay Ridge DCC,prek,"4202 8th Avenue, Brooklyn NY 11232",11232,40.645513,-73.999153
Brooklyn Chinese-American Association,prek,"5002 8th Avenue, Brooklyn NY 11220",11220,40.641028,-74.003816
"Al Madinah School, Inc.",prek,"383 3rd Avenue, Brooklyn NY 11215",11215,40.673671,-73.989163
Bumble Bees R Us 2,prek,"76 Lorraine Street, Brooklyn NY 11231",11231,40.674385,-74.006886
Brooklyn Chinese American Association,prek,"4116 8th Avenue, Brooklyn NY 11232",11232,40.646018,-73.998627
"New York Creative Childcare, Inc.",prek,"5015 6th Avenue, Brooklyn NY 11220",11220,40.643632,-74.008252
Brooklyn Explorers Academy,prek,"110 Schermerhorn Street, Brooklyn NY 11201",11201,40.690162,-73.989182
Sunny Skies Prospect Corp.,prek,"969 43rd Street, Brooklyn NY 11219",11219,40.642867,-73.996025
"Brooklyn Treehouse Preeschool, Inc.",prek,"639 4th Avenue, Brooklyn NY 11232",11232,40.663708,-73.994637
Early Childhood Development Center Kaleidoscope,prek,"165 Prospect Park Southwest, Brooklyn NY 11218",11218,40.654364,-73.973194
"Giocare, LLC",prek,"552 5th Avenue, Brooklyn NY 11215",11215,40.665481,-73.989395
Kings Bay Y at Windsor Terrace,prek,"1224 Prospect Avenue, Brooklyn NY 11218",11218,40.653253,-73.976192
The Little Brooklyn Pre-K Center at 173-177 25th Street,prek,"173-177 25th Street, Brooklyn NY 11232",11232,40.661059,-73.998973
The Little Brooklyn Pre-K Center at 305-307 Third Avenue,prek,"305-307 Third Avenue, Brooklyn NY 11215",11215,40.676679,-73.986646
The Little Brooklyn Pre-K Center at 219 25th Street,prek,"219 25th Street, Brooklyn NY 11232",11232,40.659882,-73.997016
P.S. 5 Dr. Ronald Mcnair,prek,"820 Hancock Street, Brooklyn NY 11233",11233,40.685695,-73.922463
P.S. 21 Crispus Attucks,prek,"180 Chauncey Street, Brooklyn NY 11233",11233,40.680727,-73.926597
P.S. 25 Eubie Blake School,prek,"787 Lafayette Avenue, Brooklyn NY 11221",11221,40.691037,-73.941342
P.S. 26 Jesse Owens,prek,"1014 Lafayette Avenue, Brooklyn NY 11221",11221,40.692126,-73.931731
P.S. 28 The Warren Prep Academy,prek,"1001 Herkimer Street, Brooklyn NY 11233",11233,40.678049,-73.92032
P.S. 40 George W. Carver,prek,"265 Ralph Avenue, Brooklyn NY 11233",11233,40.680463,-73.922264
P.S. 81 Thaddeus Stevens,prek,"990 Dekalb Avenue, Brooklyn NY 11221",11221,40.693161,-73.935765
P.S. 243 The Weeksville School,prek,"1580 Dean Street, Brooklyn NY 11213",11213,40.676094,-73.935688
P.S. 262 El Hajj Malik El Shabazz Elementary School,prek,"500 Macon Street, Brooklyn NY 11233",11233,40.683241,-73.930813
P.S. 308 Clara Cardwell,prek,"616 Quincy Street, Brooklyn NY 11221",11221,40.688695,-73.935499
P.S. 309 The George E. Wibecan Preparatory Academy,prek,"794 Monroe Street, Brooklyn NY 11221",11221,40.688419,-73.924833
P.S. 335 Granville T. Woods,prek,"130 Rochester Avenue, Brooklyn NY 11213",11213,40.674656,-73.927794
Brighter Choice Community School,prek,"280 Hart Street, Brooklyn NY 11206",11206,40.694086,-73.940744
Brooklyn Brownstone School,prek,"272 Macdonough Street, Brooklyn NY 11233",11233,40.681896,-73.935963
Brevoort Children's Center,prek,"250 Ralph Avenue, Brooklyn NY 11233",11233,40.68104,-73.9224
Precious Memories Daycare Inc,prek,"3124 Church Avenue, Brooklyn NY 11226",11226,40.650862,-73.948289
Bishop Sexton,prek,"933 Herkimer Street, Brooklyn NY 11233",11233,40.678169,-73.922497
Bedford Stuyvesant Early Childhood Development Center,prek,"281 Stuyvesant Avenue, Brooklyn NY 11221",11221,40.684933,-73.932441
Cornerstone Day Care Center,prek,"289 Lewis Avenue, Brooklyn NY 11221",11221,40.68592,-73.935624
LSSNY: Marcus Garvey,prek,"265 Marcus Garvey Boulevard, Brooklyn NY 11221",11221,40.68862,-73.939152
Friends of Crown Heights 29,prek,"1435 Prospect Place, Brooklyn NY 11213",11213,40.673175,-73.929039
Bedford Stuyvesant ECDC 265,prek,"813 Hancock Street, Brooklyn NY 11233",11233,40.685698,-73.922579
Community Parents Head Start,prek,"90 Chauncey Street, Brooklyn NY 11233",11233,40.680282,-73.930445
Shirley Chisholm Day Care Center Site 1,prek,"2023 Pacific Street, Brooklyn NY 11233",11233,40.676107,-73.921328
Bedford Stuyvesant ECDC 133,prek,"133 Kings First Walk, Brooklyn NY 11233",11233,40.675367,-73.927198
BCS Atlantic Avenue Early Learning Center,prek,"1825 Atlantic Avenue, Brooklyn NY 11233",11233,40.677155,-73.925639
Bedford Stuyvesant ECDC 510,prek,"510 Quincy Street, Brooklyn NY 11221",11221,40.688127,-73.94045
Glorious and Gifted Early Childhood Center Inc.,prek,"421 Throop Avenue, Brooklyn NY 11221",11221,40.688462,-73.942018
Dr. Jacqueline Peek-Davis School,prek,"430 Howard Avenue, Brooklyn NY 11233",11233,40.673073,-73.919594
P.S. 91 The Albany Avenue School,prek,"532 Albany Avenue, Brooklyn NY 11203",11203,40.661886,-73.93994
P.S. 92 Adrian Hegeman,prek,"601 Parkside Avenue, Brooklyn NY 11226",11226,40.656046,-73.953742
P.S. 138 Brooklyn,prek,"760 Prospect Place, Brooklyn NY 11216",11216,40.67438,-73.951443
P.S. 161 The Crown,prek,"330 Crown Street, Brooklyn NY 11225",11225,40.666181,-73.949013
P.S. 181 Brooklyn,prek,"1023 New York Avenue, Brooklyn NY 11203",11203,40.648215,-73.946374
P.S. 191 Paul Robeson,prek,"1600 Park Place, Brooklyn NY 11233",11233,40.672005,-73.924329
P.S. 221 Toussaint L'Ouverture,prek,"791 Empire Boulevard, Brooklyn NY 11213",11213,40.663701,-73.936049
P.S. 241 Emma L. Johnston,prek,"976 President Street, Brooklyn NY 11225",11225,40.669339,-73.960675
P.S. 249 The Caton,prek,"18 Marlborough Road, Brooklyn NY 11226",11226,40.64971,-73.966046
P.S. 289 George V. Brower,prek,"900 Saint Marks Avenue, Brooklyn NY 11213",11213,40.674794,-73.942639
P.S. 316 Elijah Stroud,prek,"750 Classon Avenue, Brooklyn NY 11238",11238,40.674406,-73.960254
P.S. 375 Jackie Robinson School,prek,"46 Mckeever Place, Brooklyn NY 11225",11225,40.665035,-73.959031
M.S. 394,prek,"188 Rochester Avenue, Brooklyn NY 11213",11213,40.672762,-73.927973
P.S. 397 Foster-Laurie,prek,"490 Fenimore Street, Brooklyn NY 11203",11203,40.658939,-73.94629
P.S. 398 Walter Weaver,prek,"60 East 94th Street, Brooklyn NY 11212",11212,40.663559,-73.926959
New Bridges Elementary,prek,"1025 Eastern Parkway, Brooklyn NY 11213",11213,40.669001,-73.934635
Brooklyn Arts and Science Elementary School,prek,"443 Saint Marks Avenue, Brooklyn NY 11238",11238,40.676774,-73.960058
"Phebeana Preschool, Inc.",prek,"160 Parkside Avenue, Brooklyn NY 11226",11226,40.654449,-73.962962
P.S. 770 New American Academy,prek,"60 East 94th Street, Brooklyn NY 11212",11212,40.663559,-73.926959
Associated Beth Rivkah School - UPK,prek,"470 Lefferts Avenue, Brooklyn NY 11225",11225,40.662647,-73.945959
Bnos Menachem,prek,"739 East New York Avenue, Brooklyn NY 11203",11203,40.662347,-73.938285
Epiphany Lutheran School,prek,"721 Lincoln Place, Brooklyn NY 11216",11216,40.670862,-73.952347
Phyl's Academy,prek,"3520 Tilden Avenue, Brooklyn NY 11203",11203,40.64708,-73.944058
St. Gregory The Great Catholic Academy,prek,"2520 Church Avenue, Brooklyn NY 11226",11226,40.650587,-73.954261
Edwards L. Cleaveland,prek,"1185 Park Place, Brooklyn NY 11213",11213,40.672793,-73.938391
Friends of Crown Heights 13,prek,"36 Ford Street, Brooklyn NY 11213",11213,40.664905,-73.929282
M.A.C.A.D.E.M.Y.,prek,"1313 Union Street, Brooklyn NY 11225",11225,40.668857,-73.948787
"Highlights Academy, Inc.",prek,"1688 President Street, Brooklyn NY 11213",11213,40.667031,-73.931702
Hawthorne Corners Day Care Center,prek,"1950 Bedford Avenue, Brooklyn NY 11225",11225,40.65734,-73.956559
