locationname,type,final_address,Postcode,Latitude,Longitude
All My Children Daycare UWS,prek,"101 West 85th Street, Manhattan NY 10024",10024,40.785992,-73.973094
P.S. 7 Samuel Stern,prek,"160 East 120th Street, Manhattan NY 10035",10035,40.801007,-73.939349
River East Elementary,prek,"508 East 120th Street, Manhattan NY 10035",10035,40.797467,-73.930868
P.S. 38 Roberto Clemente,prek,"232 East 103rd Street, Manhattan NY 10029",10029,40.788952,-73.944538
James Weldon Johnson,prek,"176 East 115th Street, Manhattan NY 10029",10029,40.797577,-73.94128
The Lexington Academy,prek,"131 East 104th Street, Manhattan NY 10029",10029,40.791179,-73.947776
P.S. 83 Luis Munoz Rivera,prek,"219 East 109th Street, Manhattan NY 10029",10029,40.793194,-73.942548
P.S. 107,prek,"1695 Seward Avenue, Bronx NY 10473",10473,40.818467,-73.868372
P.S. 96 Joseph Lanzetta,prek,"216 East 120th Street, Manhattan NY 10035",10035,40.800256,-73.937558
P.S. 102 Jacques Cartier,prek,"315 East 113th Street, Manhattan NY 10029",10029,40.794872,-73.938719
P.S. 108 Assemblyman Angelo Del Toro Educational Complex,prek,"1615 Madison Avenue, Manhattan NY 10029",10029,40.795146,-73.948368
P.S. 112 Jose Celso Barbosa,prek,"535 East 119th Street, Manhattan NY 10035",10035,40.796668,-73.930966
P.S. 146 Ann M. Short,prek,"421 East 106th Street, Manhattan NY 10029",10029,40.789295,-73.939262
P.S. 155 William Paca,prek,"319 East 117th Street, Manhattan NY 10035",10035,40.797302,-73.936365
P.S. 171 Patrick Henry,prek,"19 East 103rd Street, Manhattan NY 10029",10029,40.792122,-73.951961
Mosaic Preparatory Academy,prek,"141 East 111th Street, Manhattan NY 10029",10029,40.79564,-73.94441
Central Park East I,prek,"1573 Madison Avenue, Manhattan NY 10029",10029,40.793763,-73.949381
Central Park East II,prek,"19 East 103rd Street, Manhattan NY 10029",10029,40.792122,-73.951961
Saint Ann School,prek,"314 East 110th Street, Manhattan NY 10029",10029,40.792929,-73.939977
Saint Paul School,prek,"114 East 118th Street, Manhattan NY 10035",10035,40.800225,-73.941386
Union Johnson Early Childhood Programs,prek,"1829 Lexington Avenue, Manhattan NY 10029",10029,40.796762,-73.942968
East Harlem Block Nursery 1,prek,"215 East 106th Street, Manhattan NY 10029",10029,40.791312,-73.944041
Leggett Memorial,prek,"237 East 104th Street, Manhattan NY 10029",10029,40.789687,-73.944267
Union Carver Early Childhood Program,prek,"1565 Madison Avenue, Manhattan NY 10029",10029,40.793315,-73.94971
East Harlem Center,prek,"130 East 101st Street, Manhattan NY 10029",10029,40.789308,-73.949225
Community Life Center 1,prek,"221 East 122nd Street, Manhattan NY 10035",10035,40.801499,-73.936567
Pequenos Souls Day Care Center,prek,"114 East 122nd Street, Manhattan NY 10035",10035,40.802802,-73.939701
Children's Aid Society Taft Early Childhood Center,prek,"1724-26 Madison Avenue, Manhattan NY 10029",10029,40.798496,-73.94595
Children's Aid at P.S. 50,prek,"433 East 100th Street, Manhattan NY 10029",10029,40.785258,-73.941526
"Boys & Girls Harbor, Inc.",prek,"1 East 104th Street, Manhattan NY 10029",10029,40.792888,-73.951826
Franklin Plaza,prek,"2081 Second Avenue, Manhattan NY 10029",10029,40.791371,-73.941907
Metro North Childcare Center,prek,"304 East 102nd Street, Manhattan NY 10029",10029,40.787977,-73.944153
Union Washington Child Care Center,prek,"1893 2nd Avenue, Manhattan NY 10029",10029,40.785154,-73.946448
Addie Mae Collins 2,prek,"345 East 101st Street, Manhattan NY 10029",10029,40.787019,-73.943742
P.S. 8 Luis Belliard,prek,"465 West 167th Street, Manhattan NY 10032",10032,40.838954,-73.936838
East Harlem CHS Bilingual Head Start Program,prek,"440 East 116th Street, Manhattan NY 10029",10029,40.79549,-73.934214
East Harlem CHS Bilingual Head Start - 111th,prek,"30 East 111th Street, Manhattan NY 10029",10029,40.797069,-73.947832
Northside Center Day School,prek,"302-306 East 111th Street, Manhattan NY 10029",10029,40.793689,-73.939825
Dawning Village,prek,"2090 First Avenue, Manhattan NY 10029",10029,40.790999,-73.939047
P.S. 30 Hernandez/Hughes,prek,"144-176 East 128th Street, Manhattan NY 10035",10035,40.805953,-73.935179
P.S. 36 Margaret Douglas,prek,"123 Morningside Drive, Manhattan NY 10027",10027,40.81027,-73.957482
P.S. 46 Arthur Tappan,prek,"2987 Frederick Douglas Boulevard, Manhattan NY 10039",10039,40.83073,-73.936134
P.S. 92 Mary Mcleod Bethune,prek,"222 West 134th Street, Manhattan NY 10030",10030,40.815016,-73.945123
P.S. 123 Mahalia Jackson,prek,"301 West 140th Street, Manhattan NY 10030",10030,40.819767,-73.944433
P.S. 125 Ralph Bunche,prek,"425 West 123rd Street, Manhattan NY 10027",10027,40.810431,-73.955809
P.S. 129 John H. Finley,prek,"425 West 130th Street, Manhattan NY 10027",10027,40.814637,-73.951912
P.S. 133 Fred R Moore,prek,"2121 5th Avenue, Manhattan NY 10037",10037,40.809672,-73.939872
P.S. 154 Harriet Tubman,prek,"250 West 127th Street, Manhattan NY 10027",10027,40.810928,-73.948938
P.S. 175 Henry H. Garnet,prek,"175 West 134th Street, Manhattan NY 10030",10030,40.814422,-73.943664
P.S. 194 Countee Cullen,prek,"244 West 144th Street, Manhattan NY 10030",10030,40.821535,-73.940941
P.S. 197 John B. Russwurm,prek,"2230 5th Avenue, Manhattan NY 10037",10037,40.813184,-73.937322
P.S. 200 The James Mccune Smith School,prek,"2589 7th Avenue, Manhattan NY 10039",10039,40.824495,-73.936997
Teachers College Community School,prek,"168 Morningside Avenue, Manhattan NY 10027",10027,40.81242,-73.953315
Storefront Academy Harlem,prek,"70 East 129th Street, Manhattan NY 10035",10035,40.807947,-73.938024
Saint Charles Borromeo,prek,"214 West 142nd Street, Manhattan NY 10030",10030,40.82004,-73.941253
"Urban Concepts of NY-Round the Clock Nursery, Inc.",prek,"301 West 130th Street, Manhattan NY 10027",10027,40.813442,-73.948979
West Harlem EarlyLearn,prek,"121 West 128th Street, Manhattan NY 10027",10027,40.810056,-73.944921
Children's Aid Society Drew Hamilton ECC,prek,"2672 Frederick Douglass Boulevard, Manhattan NY 10030",,,
ESS Morningside,prek,"2967 Frederick Douglas Boulevard, Manhattan NY 10039",10039,40.830283,-73.936467
LSSMNY: Early LIFE Children's Center 11,prek,"110 West 146th Street, Manhattan NY 10039",10039,40.821357,-73.936353
Grant Day Care Center,prek,"1299 Amsterdam Avenue, Manhattan NY 10027",10027,40.811919,-73.957318
LSSMNY: Early LIFE Children's Center 13,prek,"218 West 147th Street, Manhattan NY 10039",10039,40.82331,-73.939043
Graham Windham DCC,prek,"669 Lenox Avenue, Manhattan NY 10037",10037,40.81939,-73.937012
Addie Mae Collins 3,prek,"2322 Third Avenue, Manhattan NY 10035",10035,40.804468,-73.935267
Harlem Gems North,prek,"381 Lenox Avenue, Manhattan NY 10027",10027,40.810574,-73.943975
ABC/Echo Park ECDC,prek,"1841 Park Avenue, Manhattan NY 10035",10035,40.80582,-73.938463
