school_name,type,location,Postcode,Latitude,Longitude,score
Antonia Pantoja Preparatory Academy: A College Board School,high,"1980 Lafayette Avenue, Bronx NY 10473 (40.821218, -73.85593)",10473,40.82122,-73.8559,0.61 
"Archimedes Academy for Math, Science and Technology Applications",high,"456 White Plains Road, Bronx NY 10473 (40.815043, -73.85607)",10473,40.81504,-73.8561,0.58 
Bronx Compass High School,high,"1980 Lafayette Avenue, Bronx NY 10473 (40.821218, -73.85593)",10473,40.82122,-73.8559,
Bronx Bridges High School,high,"1980 Lafayette Avenue, Bronx NY 10473 (40.821218, -73.85593)",10473,40.82122,-73.8559,0.57 
Pablo Neruda Academy,high,"1980 Lafayette Avenue, Bronx NY 10473 (40.821218, -73.85593)",10473,40.82122,-73.8559,0.59 
Millennium Art Academy,high,"1980 Lafayette Avenue, Bronx NY 10473 (40.821218, -73.85593)",10473,40.82122,-73.8559,0.61 
Bronx Guild,high,"1980 Lafayette Avenue, Bronx NY 10473 (40.821218, -73.85593)",10473,40.82122,-73.8559,0.57 
"Felisa Rincon de Gautier Institute for Law and Public Policy, The",high,"1440 Story Avenue, Bronx NY 10473 (40.820486, -73.881187)",10473,40.82049,-73.8812,0.46 
Women's Academy of Excellence,high,"456 White Plains Road, Bronx NY 10473 (40.815043, -73.85607)",10473,40.81504,-73.8561,0.61 
Eagle Academy for Young Men of Harlem,high,"6 Edgecombe Avenue, Manhattan NY 10030 (40.817228, -73.947151)",10030,40.81723,-73.9472,
Mott Hall High School,high,"6 Edgecombe Avenue, Manhattan NY 10030 (40.817228, -73.947151)",10030,40.81723,-73.9472,0.69 
The Urban Assembly School for Global Commerce,high,"2005 Madison Avenue, Manhattan NY 10035 (40.807019, -73.938714)",10035,40.80702,-73.9387,
Thurgood Marshall Academy for Learning and Social Change,high,"200-214 West 135th Street, Manhattan NY 10030 (40.815237, -73.944299)",10030,40.81524,-73.9443,0.81 
Frederick Douglass Academy,high,"2581 7th Avenue, Manhattan NY 10039 (40.823988, -73.935746)",10039,40.82399,-73.9357,0.69 
Wadleigh Secondary School for the Performing & Visual Arts,high,"215 West 114th Street, Manhattan NY 10026 (40.80261, -73.954152)",10026,40.80261,-73.9542,0.64 
Frederick Douglass Academy II Secondary School,high,"215 West 114th Street, Manhattan NY 10026 (40.80261, -73.954152)",10026,40.80261,-73.9542,0.64 
"Clinton School Writers & Artists, M.S. 260",high,"10 East 15th Street, Manhattan NY 10003 (40.736526, -73.992727)",10003,40.73653,-73.9927,
Baruch College Campus High School,high,"55 East 25th Street, Manhattan NY 10010 (40.741888, -73.985723)",10010,40.74189,-73.9857,1.00 
Hudson High School of Learning Technologies,high,"351 West 18th Street, Manhattan NY 10011 (40.743407, -74.00254)",10011,40.74341,-74.0025,0.73 
Quest to Learn,high,"351 West 18th Street, Manhattan NY 10011 (40.743407, -74.00254)",10011,40.74341,-74.0025,
NYC Lab School for Collaborative Studies,high,"333 West 17th Street, Manhattan NY 10011 (40.742512, -74.002222)",10011,40.74251,-74.0022,0.96 
Landmark High School,high,"351 West 18th Street, Manhattan NY 10011 (40.743407, -74.00254)",10011,40.74341,-74.0025,0.52 
The High School of Fashion Industries,high,"225 West 24th Street, Manhattan NY 10011 (40.745677, -73.996354)",10011,40.74568,-73.9964,0.91 
NYC Museum School,high,"333 West 17th Street, Manhattan NY 10011 (40.742512, -74.002222)",10011,40.74251,-74.0022,1.00 
Manhattan Business Academy,high,"351 West 18th Street, Manhattan NY 10011 (40.743407, -74.00254)",10011,40.74341,-74.0025,0.87 
Humanities Preparatory Academy,high,"351 West 18th Street, Manhattan NY 10011 (40.743407, -74.00254)",10011,40.74341,-74.0025,
Manhattan Village Academy,high,"43 West 22nd Street, Manhattan NY 10010 (40.741963, -73.991966)",10010,40.74196,-73.992,0.98 
Essex Street Academy,high,"350 Grand Street, Manhattan NY 10002 (40.717329, -73.989329)",10002,40.71733,-73.9893,0.84 
Urban Assembly Maker Academy,high,"411 Pearl Street, Manhattan NY 10038 (40.711441, -74.000851)",10038,40.71144,-74.0009,
Marta Valle High School,high,"145 Stanton Street, Manhattan NY 10002 (40.72004, -73.986038)",10002,40.72004,-73.986,0.47 
Pace High School,high,"100 Hester Street, Manhattan NY 10002 (40.716231, -73.993607)",10002,40.71623,-73.9936,0.88 
Murry Bergtraum High School for Business Careers,high,"411 Pearl Street, Manhattan NY 10038 (40.711441, -74.000851)",10038,40.71144,-74.0009,0.48 
High School for Dual Language and Asian Studies,high,"350 Grand Street, Manhattan NY 10002 (40.717329, -73.989329)",10002,40.71733,-73.9893,0.97 
Manhattan Early College School for Advertising,high,"411 Pearl Street, Manhattan NY 10038 (40.711441, -74.000851)",10038,40.71144,-74.0009,
The Urban Assembly School for Emergency Management,high,"411 Pearl Street, Manhattan NY 10038 (40.711441, -74.000851)",10038,40.71144,-74.0009,
New Design High School,high,"350 Grand Street, Manhattan NY 10002 (40.717329, -73.989329)",10002,40.71733,-73.9893,0.75 
"Urban Assembly Academy of Government and Law, The",high,"350 Grand Street, Manhattan NY 10002 (40.717329, -73.989329)",10002,40.71733,-73.9893,0.87 
Lower Manhattan Arts Academy,high,"350 Grand Street, Manhattan NY 10002 (40.717329, -73.989329)",10002,40.71733,-73.9893,0.67 
Leadership Institute,high,"1701 Fulton Avenue, Bronx NY 10457 (40.841758, -73.897943)",10457,40.84176,-73.8979,0.28 
Eximius College Preparatory Academy: A College Board School,high,"1363 Fulton Avenue, Bronx NY 10456 (40.833884, -73.902794)",10456,40.83388,-73.9028,0.85 
Bronx Center for Science and Mathematics,high,"1363 Fulton Avenue, Bronx NY 10456 (40.833884, -73.902794)",10456,40.83388,-73.9028,0.90 
"Urban Assembly School for Applied Math and Science, The",high,"1595 Bathgate Avenue, Bronx NY 10457 (40.839508, -73.901774)",10457,40.83951,-73.9018,0.88 
Frederick Douglass Academy III Secondary School,high,"3630 Third Avenue, Bronx NY 10456 (40.833493, -73.903951)",10456,40.83349,-73.904,0.67 
Eagle Academy for Young Men,high,"4143 Third Avenue, Bronx NY 10457 (40.845366, -73.897479)",10457,40.84537,-73.8975,0.70 
Mott Hall Bronx High School,high,"1595 Bathgate Avenue, Bronx NY 10457 (40.839508, -73.901774)",10457,40.83951,-73.9018,0.80 
Validus Preparatory Academy: An Expeditionary Learning School,high,"1595 Bathgate Avenue, Bronx NY 10457 (40.839508, -73.901774)",10457,40.83951,-73.9018,0.62 
Bronx Leadership Academy High School,high,"1710 Webster Avenue, Bronx NY 10457 (40.84325, -73.902969)",10457,40.84325,-73.903,0.56 
Manhattan Bridges High School,high,"525 West 50th Street, Manhattan NY 10019 (40.765474, -73.9927)",10019,40.76547,-73.9927,0.94 
Beacon High School,high,"522 West 44th Street, New York NY 10036 (40.760858, -73.996262)",10036,40.76086,-73.9963,1.00 
High School for Environmental Studies,high,"444 West 56th Street, Manhattan NY 10019 (40.767848, -73.98861)",10019,40.76785,-73.9886,0.82 
Stephen T. Mather Building Arts & Craftsmanship High School,high,"439 West 49th Street, Manhattan NY 10019 (40.763655, -73.990318)",10019,40.76366,-73.9903,
"Urban Assembly School of Design and Construction, The",high,"525 West 50th Street, Manhattan NY 10019 (40.765474, -73.9927)",10019,40.76547,-73.9927,0.62 
Professional Performing Arts High School (PPAS),high,"328 West 48th Street, Manhattan NY 10036 (40.761327, -73.988665)",10036,40.76133,-73.9887,0.98 
Urban Assembly Gateway School for Technology,high,"439 West 49th Street, Manhattan NY 10019 (40.763655, -73.990318)",10019,40.76366,-73.9903,0.89 
High School of Hospitality Management,high,"525 West 50th Street, Manhattan NY 10019 (40.765474, -73.9927)",10019,40.76547,-73.9927,0.82 
Business Of Sports School (BOSS),high,"439 West 49th Street, Manhattan NY 10019 (40.763655, -73.990318)",10019,40.76366,-73.9903,0.70 
Food and Finance High School,high,"525 West 50th Street, Manhattan NY 10019 (40.765474, -73.9927)",10019,40.76547,-73.9927,0.81 
"Facing History School, The",high,"525 West 50th Street, Manhattan NY 10019 (40.765474, -73.9927)",10019,40.76547,-73.9927,0.67 
Independence High School,high,"850 10th Avenue, Manhattan NY 10019 (40.767848, -73.98861)",10019,40.76785,-73.9886,
"Brooklyn Community High School of Communication, Arts and Media (BCAM)",high,"300 Willoughby Avenue, Brooklyn NY 11205 (40.692015, -73.95818)",11205,40.69202,-73.9582,0.78 
Benjamin Banneker Academy,high,"71-77 Clinton Avenue, Brooklyn NY 11205 (40.695389, -73.968759)",11205,40.69539,-73.9688,0.92 
Bronx Health Sciences High School,high,"750 Baychester Avenue, Bronx NY 10475 (40.874035, -73.831669)",10475,40.87404,-73.8317,0.96 
Harry S Truman High School,high,"750 Baychester Avenue, Bronx NY 10475 (40.874035, -73.831669)",10475,40.87404,-73.8317,0.63 
High School for Arts and Business,high,"105-25 Horace Harding Expy N, Corona NY 11368 (40.737673, -73.853412)",11368,40.73767,-73.8534,0.90 
Bronx Envision Academy,high,"1619 Boston Road, Bronx NY 10460 (40.836245, -73.890591)",10460,40.83625,-73.8906,0.74 
Explorations Academy,high,"1619 Boston Road, Bronx NY 10460 (40.836245, -73.890591)",10460,40.83625,-73.8906,0.59 
Fannie Lou Hamer Freedom High School,high,"1021 Jennings Street, Bronx NY 10460 (40.831212, -73.885804)",10460,40.83121,-73.8858,0.66 
East Bronx Academy for the Future,high,"1716 Southern Boulevard, Bronx NY 10460 (40.836821, -73.887688)",10460,40.83682,-73.8877,0.78 
W.E.B. DuBois Academic High School,high,"402 Eastern Parkway, Brooklyn, NY 11225 (40.669561, -73.955188)",11225,40.66956,-73.9552,
Academy for Health Careers,high,"150 Albany Avenue, Brooklyn NY 11213 (40.675905, -73.939282)",11213,40.67591,-73.9393,0.73 
Pathways in Technology Early College High School (P-TECH),high,"150 Albany Avenue, Brooklyn NY 11213 (40.675905, -73.939282)",11213,40.67591,-73.9393,0.72 
ACORN Community High School,high,"561 Grand Avenue, Brooklyn NY 11238 (40.678591, -73.961636)",11238,40.67859,-73.9616,0.49 
Brooklyn Academy of Science and the Environment,high,"883 Classon Avenue, Brooklyn NY 11225 (40.669805, -73.960689)",11225,40.66981,-73.9607,0.75 
The High School for Global Citizenship,high,"883 Classon Avenue, Brooklyn NY 11225 (40.669805, -73.960689)",11225,40.66981,-73.9607,0.59 
Clara Barton High School,high,"901 Classon Avenue, Brooklyn NY 11225 (40.669805, -73.960689)",11225,40.66981,-73.9607,0.69 
Medgar Evers College Preparatory School,high,"1186 Carroll Street, Brooklyn NY 11225 (40.66679, -73.951823)",11225,40.66679,-73.9518,0.96 
Brooklyn School for Music & Theatre,high,"883 Classon Avenue, Brooklyn NY 11225 (40.669805, -73.960689)",11225,40.66981,-73.9607,0.83 
International High School at Prospect Heights,high,"883 Classon Avenue, Brooklyn NY 11225 (40.669805, -73.960689)",11225,40.66981,-73.9607,0.70 
Brooklyn Lab School,high,"999 Jamaica Avenue, Brooklyn NY 11208 (40.693002, -73.869305)",11208,40.693,-73.8693,0.54 
Multicultural High School,high,"999 Jamaica Avenue, Brooklyn NY 11208 (40.693002, -73.869305)",11208,40.693,-73.8693,0.54 
Cypress Hills Collegiate Preparatory School,high,"999 Jamaica Avenue, Brooklyn NY 11208 (40.693002, -73.869305)",11208,40.693,-73.8693,0.58 
Academy of Innovative Technology,high,"999 Jamaica Avenue, Brooklyn NY 11208 (40.693002, -73.869305)",11208,40.693,-73.8693,0.78 
The Urban Assembly School for Collaborative Healthcare,high,"999 Jamaica Avenue, Brooklyn NY 11208 (40.693002, -73.869305)",11208,40.693,-73.8693,
Brooklyn High School of the Arts,high,"345 Dean Street, Brooklyn NY 11217 (40.683951, -73.980266)",11217,40.68395,-73.9803,0.93 
Brooklyn International High School,high,"49 Flatbush Avenue Extension, Brooklyn NY 11201 (40.69733, -73.984528)",11201,40.69733,-73.9845,0.90 
Urban Assembly High School of Music and Art,high,"49 Flatbush Avenue Extension, Brooklyn NY 11201 (40.69733, -73.984528)",11201,40.69733,-73.9845,0.56 
"City Polytechnic High School of Engineering, Architecture, and Technology",high,"105 Tech Place, Brooklyn NY 11201 (40.695444, -73.986105)",11201,40.69544,-73.9861,0.89 
School for International Studies,high,"284 Baltic Street, Brooklyn NY 11201 (40.685006, -73.993293)",11201,40.68501,-73.9933,0.65 
Digital Arts and Cinema Technology High School (Brooklyn School for Global Studies),high,"284 Baltic Street, Brooklyn NY 11201 (40.685006, -73.993293)",11201,40.68501,-73.9933,0.71 
Khalil Gibran International Academy,high,"362 Schermerhorn Street, Brooklyn NY 11217 (40.686147, -73.979829)",11217,40.68615,-73.9798,
Urban Assembly Institute of Math and Science for Young Women,high,"283 Adams Street, Brooklyn NY 11201 (40.694629, -73.988323)",11201,40.69463,-73.9883,0.84 
The Urban Assembly School for Law and Justice,high,"283 Adams Street, Brooklyn NY 11201 (40.694629, -73.988323)",11201,40.69463,-73.9883,0.86 
Cobble Hill School of American Studies,high,"347 Baltic Street, Brooklyn NY 11201 (40.684869, -73.990884)",11201,40.68487,-73.9909,0.79 
Brooklyn Frontiers High School,high,"112 Schermerhorn Street, Brooklyn NY 11201 (40.690007, -73.989369)",11201,40.69001,-73.9894,
"Science Skills Center High School for Science, Technology and the Creative Arts",high,"49 Flatbush Avenue Extension, Brooklyn NY 11201 (40.69733, -73.984528)",11201,40.69733,-73.9845,0.73 
George Westinghouse Career and Technical Education High School,high,"105 Johnson Street, Brooklyn NY 11201 (40.695444, -73.986105)",11201,40.69544,-73.9861,0.74 
Bronx High School for Medical Science,high,"240 East 172nd Street, Bronx NY 10457 (40.839307, -73.911366)",10457,40.83931,-73.9114,0.85 
Bronx Early College Academy for Teaching & Learning,high,"250 East 164th Street, Bronx NY 10456 (40.828009, -73.917705)",10456,40.82801,-73.9177,0.97 
DreamYard Preparatory School,high,"240 East 172nd Street, Bronx NY 10457 (40.839307, -73.911366)",10457,40.83931,-73.9114,0.61 
Bronx Collegiate Academy,high,"240 East 172nd Street, Bronx NY 10457 (40.839307, -73.911366)",10457,40.83931,-73.9114,0.55 
Bronx Leadership Academy II High School,high,"730 Concourse Village West, Bronx NY 10451 (40.821828, -73.922366)",10451,40.82183,-73.9224,0.60 
New Explorers High School,high,"730 Concourse Village West, Bronx NY 10451 (40.821828, -73.922366)",10451,40.82183,-73.9224,0.58 
Claremont International HS,high,"240 East 172nd Street, Bronx NY 10457 (40.839307, -73.911366)",10457,40.83931,-73.9114,
Urban Assembly School for Careers in Sports,high,"730 Concourse Village West, Bronx NY 10451 (40.821828, -73.922366)",10451,40.82183,-73.9224,0.79 
New Directions Secondary School,high,"240 East 172nd Street, Bronx NY 10457 (40.839307, -73.911366)",10457,40.83931,-73.9114,
"Bronx School for Law, Government and Justice",high,"244 East 163rd Street, Bronx NY 10451 (40.827461, -73.919024)",10451,40.82746,-73.919,0.76 
Bronx High School of Business,high,"240 East 172nd Street, Bronx NY 10457 (40.839307, -73.911366)",10457,40.83931,-73.9114,0.39 
Art and Design High School,high,"231-249 East 56th Street, Manhattan NY 10019 (40.759248, -73.967204)",10019,40.75925,-73.9672,0.85 
Kurt Hahn Expeditionary Learning School,high,"5800 Tilden Avenue, Brooklyn NY 11203 (40.647728, -73.922212)",11203,40.64773,-73.9222,0.76 
It Takes a Village Academy,high,"5800 Tilden Avenue, Brooklyn NY 11203 (40.647728, -73.922212)",11203,40.64773,-73.9222,0.92 
Cultural Academy for the Arts and Sciences,high,"5800 Tilden Avenue, Brooklyn NY 11203 (40.647728, -73.922212)",11203,40.64773,-73.9222,0.61 
Coalition School for Social Change,high,"2351 First Avenue, Manhattan NY 10035 (40.799265, -73.93374)",10035,40.79927,-73.9337,0.44 
Manhattan Center for Science and Mathematics,high,"260 Pleasant Avenue, Manhattan NY 10029 (40.794184, -73.932868)",10029,40.79418,-73.9329,0.95 
Esperanza Preparatory Academy,high,"240 East 109th Street, Manhattan NY 10029 (40.792556, -73.942285)",10029,40.79256,-73.9423,
"Heritage School, The",high,"1680 Lexington Avenue, Manhattan NY 10029 (40.791966, -73.946879)",10029,40.79197,-73.9469,0.61 
Central Park East High School,high,"1573 Madison Avenue, Manhattan NY 10029 (40.793649, -73.948488)",10029,40.79365,-73.9485,0.98 
Young Women__ôs Leadership School (TYWLS),high,"105 East 106th Street, New York NY 10029 (40.792932, -73.947171)",10029,40.79293,-73.9472,0.99 
Park East High School,high,"230 East 105th Street, Manhattan NY 10029 (40.790191, -73.944092)",10029,40.79019,-73.9441,0.97 
East New York Family Academy,high,"2057 Linden Boulevard, Brooklyn NY 11207 (40.661104, -73.886664)",11207,40.6611,-73.8867,0.87 
"The School for Classics: An Academy of Thinkers, Writers and Performers",high,"370 Fountain Avenue, Brooklyn NY 11208 (40.67002, -73.874537)",11208,40.67002,-73.8745,0.81 
