school_name,type,location,Postcode,Latitude,Longitude,score
Bronx Collaborative High School,high,"100 West Mosholu Parkway South, Bronx NY 10468 (40.879958, -73.889011)",10468,40.87996,-73.889,
International School for Liberal Arts,high,"2780 Reservoir Avenue, Bronx NY 10468 (40.869061, -73.897066)",10468,40.86906,-73.8971,0.67 
DeWitt Clinton High School,high,"100 West Mosholu Parkway South, Bronx NY 10468 (40.879958, -73.889011)",10468,40.87996,-73.889,0.46 
High School of American Studies at Lehman College,high,"2925 Goulden Avenue, Bronx NY 10468 (40.874725, -73.895543)",10468,40.87473,-73.8955,0.99 
Discovery High School,high,"2780 Reservoir Avenue, Bronx NY 10468 (40.869061, -73.897066)",10468,40.86906,-73.8971,0.60 
Kingsbridge International High School,high,"2780 Reservoir Avenue, Bronx NY 10468 (40.869061, -73.897066)",10468,40.86906,-73.8971,0.66 
Washington Heights Expeditionary Learning School (WHEELS),high,"511 West 182nd Street, Manhattan NY 10033 (40.849311, -73.930991)",10033,40.84931,-73.931,0.74 
The College Academy,high,"549 Audubon Avenue, Manhattan NY 10040 (40.856532, -73.92606)",10040,40.85653,-73.9261,0.52 
High School for Health Careers and Sciences,high,"549 Audubon Avenue, Manhattan NY 10040 (40.856532, -73.92606)",10040,40.85653,-73.9261,0.70 
High School for Law and Public Service,high,"549 Audubon Avenue, Manhattan NY 10040 (40.856532, -73.92606)",10040,40.85653,-73.9261,0.63 
High School for Media and Communications,high,"549 Audubon Avenue, Manhattan NY 10040 (40.856532, -73.92606)",10040,40.85653,-73.9261,0.55 
City College Academy of the Arts,high,"4600 Broadway, Manhattan NY 10040 (40.860951, -73.930082)",10040,40.86095,-73.9301,0.95 
Community Health Academy of the Heights,high,"504 West 158th Street, Manhattan NY 10032 (40.833695, -73.942074)",10032,40.8337,-73.9421,0.63 
Gregorio Luperon High School for Science and Mathematics,high,"501 West 165Th, Manhattan NY 10032 (40.8381, -73.9383)",10032,,-73.9383,0.76 
Rachel Carson High School for Coastal Studies,high,"521 West Avenue, Brooklyn NY 11224 (40.582518, -73.972009)",11224,40.58252,-73.972,0.84 
Abraham Lincoln High School,high,"2800 Ocean Parkway, Brooklyn NY 11235 (40.582627, -73.968733)",11235,40.58263,-73.9687,0.66 
Community School for Social Justice,high,"350 Gerard Avenue, Bronx NY 10451 (40.815712, -73.92996)",10451,40.81571,-73.93,0.55 
Comprehensive Model School Project M.S. 327,high,"1501 Jerome Avenue, Bronx NY 10452 (40.842503, -73.916084)",10452,40.8425,-73.9161,
Health Opportunities High School,high,"350 Gerard Avenue, Bronx NY 10451 (40.815712, -73.92996)",10451,40.81571,-73.93,0.61 
The Cinema School,high,"1551 East 172nd Street, Bronx NY 10472 (40.832508, -73.878191)",10472,40.83251,-73.8782,0.98 
High School of World Cultures,high,"1300 Boynton Avenue, Bronx NY 10472 (40.832508, -73.878191)",10472,40.83251,-73.8782,0.56 
Mott Hall V,high,"1551 East 172nd Street, Bronx NY 10472 (40.832508, -73.878191)",10472,40.83251,-73.8782,0.82 
Pan American International High School at Monroe,high,"1300 Boynton Avenue, Bronx NY 10472 (40.832508, -73.878191)",10472,40.83251,-73.8782,0.88 
Monroe Academy for Visual Arts & Design,high,"1300 Boynton Avenue, Bronx NY 10472 (40.832508, -73.878191)",10472,40.83251,-73.8782,0.52 
The Metropolitan Soundview High School,high,"1300 Boynton Avenue, Bronx NY 10472 (40.832508, -73.878191)",10472,40.83251,-73.8782,0.76 
Harvest Collegiate High School,high,"34 West 14th Street, Manhattan NY 10011 (40.736416, -73.995731)",10011,40.73642,-73.9957,
Academy for Scholarship and Entrepreneurship: A College Board School,high,"921 East 228th Street, Bronx NY 10466 (40.888242, -73.852714)",10466,40.88824,-73.8527,0.70 
New World High School,high,"921 East 228th Street, Bronx NY 10466 (40.888242, -73.852714)",10466,40.88824,-73.8527,0.88 
Bronx Aerospace High School,high,"800 East Gun Hill Road, Bronx NY 10467 (40.875172, -73.861649)",10467,40.87517,-73.8616,0.68 
Bronx High School for Writing and Communication Arts,high,"800 East Gun Hill Road, Bronx NY 10467 (40.875172, -73.861649)",10467,40.87517,-73.8616,0.51 
The Bronxwood Preparatory Academy,high,"921 East 228th Street, Bronx NY 10466 (40.888242, -73.852714)",10466,40.88824,-73.8527,0.63 
Bronx Academy of Health Careers,high,"800 East Gun Hill Road, Bronx NY 10467 (40.875172, -73.861649)",10467,40.87517,-73.8616,0.70 
High School of Computers and Technology,high,"800 East Gun Hill Road, Bronx NY 10467 (40.875172, -73.861649)",10467,40.87517,-73.8616,0.77 
High School for Contemporary Arts,high,"800 East Gun Hill Road, Bronx NY 10467 (40.875172, -73.861649)",10467,40.87517,-73.8616,0.60 
Bronx Lab School,high,"800 East Gun Hill Road, Bronx NY 10467 (40.875172, -73.861649)",10467,40.87517,-73.8616,0.83 
Williamsburg High School for Architecture and Design,high,"257 North 6th Street, Brooklyn NY 11211 (40.715561, -73.954815)",11211,40.71556,-73.9548,0.93 
Williamsburg Preparatory School,high,"257 North 6th Street, Brooklyn NY 11211 (40.715561, -73.954815)",11211,40.71556,-73.9548,0.91 
Juan Morel Campos Secondary School,high,"215 Heyward Street, Brooklyn NY 11206 (40.703996, -73.953304)",11206,40.704,-73.9533,0.48 
Brooklyn Preparatory High School,high,"257 North 6th Street, Brooklyn NY 11211 (40.715561, -73.954815)",11211,40.71556,-73.9548,0.86 
Greenpoint Art and Technical High School (Frances Perkins Academy),high,"50 Bedford Avenue, Brooklyn NY 11222 (40.721448, -73.953328)",11222,40.72145,-73.9533,0.73 
Automotive High School,high,"50 Bedford Avenue, Brooklyn NY 11222 (40.721448, -73.953328)",11222,40.72145,-73.9533,0.46 
El Puente Academy for Peace and Justice,high,"250 Hooper Street, Brooklyn NY 11211 (40.70554, -73.955741)",11211,40.70554,-73.9557,0.66 
Brooklyn College Academy,high,"350 Coney Island Avenue, Brooklyn NY 11218 (40.649055, -73.972312)",11218,40.64906,-73.9723,0.99 
Life Sciences Secondary School,high,"320 East 96th Street, Manhattan NY 10128 (40.783286, -73.945933)",10128,40.78329,-73.9459,0.81 
